# -*- coding: cp1252 -*-
subject_id,Trials,Block,Colour,Position,Button,RT
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,244
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,222
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,281
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,243
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,259
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,225
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,103
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,260
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,260
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,205
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,210
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,238
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,329
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,236
1,Practice,Baseline,"Colour(red=255, green=255, blue=255)",0,98,263
1,Practice,Default,"Colour(red=0, green=255, blue=0)",-350,100,281
1,Practice,Default,"Colour(red=0, green=255, blue=0)",350,100,407
1,Practice,Default,"Colour(red=0, green=0, blue=255)",-350,107,360
1,Practice,Default,"Colour(red=0, green=0, blue=255)",350,107,447
1,Practice,Default,"Colour(red=0, green=255, blue=0)",-350,100,427
1,Practice,Default,"Colour(red=0, green=255, blue=0)",350,100,524
1,Practice,Default,"Colour(red=0, green=0, blue=255)",350,107,435
1,Practice,Default,"Colour(red=0, green=255, blue=0)",350,100,366
1,Practice,Default,"Colour(red=0, green=0, blue=255)",350,100,364
1,Practice,Default,"Colour(red=0, green=0, blue=255)",350,107,436
1,Practice,Default,"Colour(red=0, green=255, blue=0)",-350,100,454
1,Practice,Default,"Colour(red=0, green=0, blue=255)",-350,107,490
1,Practice,Default,"Colour(red=0, green=0, blue=255)",-350,107,567
1,Practice,Default,"Colour(red=0, green=255, blue=0)",-350,100,733
1,Practice,Default,"Colour(red=0, green=255, blue=0)",-350,100,517
1,Practice,Default,"Colour(red=0, green=0, blue=255)",350,107,321
1,Practice,Default,"Colour(red=0, green=0, blue=255)",-350,107,345
1,Practice,Default,"Colour(red=0, green=255, blue=0)",350,100,481
1,Practice,Default,"Colour(red=0, green=0, blue=255)",-350,107,397
1,Practice,Default,"Colour(red=0, green=255, blue=0)",350,100,367
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,220
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,244
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,242
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,211
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,177
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,243
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,213
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,308
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,250
1,Main,Baseline,"Colour(red=255, green=255, blue=255)",0,98,288
